genre,platform,total_juegos,critic_score_nulos,critic_score_no_nulos,critic_score_pct_nulos,rating_nulos,rating_no_nulos,rating_pct_nulos,user_score_nulos,user_score_no_nulos,user_score_pct_nulos
Sports,Wii,260,165,95,63.46153846153846,68,192,26.153846153846157,162,98,62.30769230769231
Sports,NES,14,14,0,100.0,14,0,100.0,14,0,100.0
Sports,GB,9,9,0,100.0,9,0,100.0,9,0,100.0
Sports,DS,148,108,40,72.97297297297297,65,83,43.91891891891892,123,25,83.1081081081081
Sports,X360,217,60,157,27.64976958525346,27,190,12.442396313364055,50,167,23.04147465437788
Sports,PS3,214,86,128,40.18691588785047,54,160,25.233644859813083,74,140,34.57943925233645
Sports,PS2,400,159,241,39.75,103,297,25.75,167,233,41.75
Sports,SNES,49,49,0,100.0,49,0,100.0,49,0,100.0
Sports,GBA,88,38,50,43.18181818181818,28,60,31.818181818181817,69,19,78.4090909090909
Sports,PS4,46,5,41,10.869565217391305,6,40,13.043478260869565,4,42,8.695652173913043
Sports,3DS,26,19,7,73.07692307692307,13,13,50.0,20,6,76.92307692307693
Sports,N64,80,80,0,100.0,80,0,100.0,80,0,100.0
Sports,PS,222,191,31,86.03603603603604,190,32,85.58558558558559,206,16,92.7927927927928
Sports,XB,170,14,156,8.235294117647058,12,158,7.0588235294117645,43,127,25.294117647058822
Sports,PC,50,14,36,28.000000000000004,14,36,28.000000000000004,13,37,26.0
Sports,2600,12,12,0,100.0,12,0,100.0,12,0,100.0
Sports,PSP,134,61,73,45.52238805970149,37,97,27.611940298507463,64,70,47.76119402985074
Sports,XOne,38,6,32,15.789473684210526,4,34,10.526315789473683,4,34,10.526315789473683
Sports,WiiU,8,2,6,25.0,1,7,12.5,1,7,12.5
Sports,GC,110,16,94,14.545454545454545,12,98,10.909090909090908,38,72,34.54545454545455
Sports,GEN,3,3,0,100.0,3,0,100.0,3,0,100.0
Sports,DC,10,9,1,90.0,9,1,90.0,9,1,90.0
Sports,PSV,23,17,6,73.91304347826086,12,11,52.17391304347826,14,9,60.86956521739131
Sports,SAT,16,16,0,100.0,16,0,100.0,16,0,100.0
Sports,NG,1,1,0,100.0,1,0,100.0,1,0,100.0
Platform,Wii,58,18,40,31.03448275862069,7,51,12.068965517241379,20,38,34.48275862068966
Platform,NES,28,28,0,100.0,28,0,100.0,28,0,100.0
Platform,GB,19,19,0,100.0,19,0,100.0,19,0,100.0
Platform,DS,91,36,55,39.56043956043956,23,68,25.274725274725274,55,36,60.43956043956044
Platform,X360,25,4,21,16.0,1,24,4.0,2,23,8.0
Platform,PS3,37,14,23,37.83783783783784,9,28,24.324324324324326,10,27,27.027027027027028
Platform,PS2,103,30,73,29.126213592233007,16,87,15.53398058252427,27,76,26.21359223300971
Platform,SNES,26,26,0,100.0,26,0,100.0,26,0,100.0
Platform,GBA,142,61,81,42.95774647887324,49,93,34.50704225352113,90,52,63.38028169014085
Platform,PS4,12,1,11,8.333333333333332,1,11,8.333333333333332,1,11,8.333333333333332
Platform,3DS,28,10,18,35.714285714285715,7,21,25.0,10,18,35.714285714285715
Platform,N64,30,30,0,100.0,30,0,100.0,30,0,100.0
Platform,PS,64,48,16,75.0,47,17,73.4375,48,16,75.0
Platform,XB,49,10,39,20.408163265306122,9,40,18.367346938775512,23,26,46.93877551020408
Platform,PC,11,1,10,9.090909090909092,1,10,9.090909090909092,1,10,9.090909090909092
Platform,2600,9,9,0,100.0,9,0,100.0,9,0,100.0
Platform,PSP,36,12,24,33.33333333333333,8,28,22.22222222222222,15,21,41.66666666666667
Platform,XOne,5,1,4,20.0,0,5,0.0,0,5,0.0
Platform,WiiU,17,1,16,5.88235294117647,1,16,5.88235294117647,2,15,11.76470588235294
Platform,GC,73,14,59,19.17808219178082,12,61,16.43835616438356,28,45,38.35616438356164
Platform,GEN,7,7,0,100.0,7,0,100.0,7,0,100.0
Platform,DC,2,1,1,50.0,1,1,50.0,1,1,50.0
Platform,PSV,9,3,6,33.33333333333333,1,8,11.11111111111111,1,8,11.11111111111111
Platform,SAT,5,5,0,100.0,5,0,100.0,5,0,100.0
Platform,SCD,1,1,0,100.0,1,0,100.0,1,0,100.0
Platform,GG,1,1,0,100.0,1,0,100.0,1,0,100.0
Racing,Wii,93,58,35,62.365591397849464,19,74,20.43010752688172,53,40,56.98924731182796
Racing,NES,4,4,0,100.0,4,0,100.0,4,0,100.0
Racing,GB,2,2,0,100.0,2,0,100.0,2,0,100.0
Racing,DS,67,37,30,55.223880597014926,11,56,16.417910447761194,47,20,70.1492537313433
Racing,X360,104,27,77,25.961538461538463,18,86,17.307692307692307,26,78,25.0
Racing,PS3,92,25,67,27.173913043478258,19,73,20.652173913043477,25,67,27.173913043478258
Racing,PS2,216,53,163,24.537037037037038,31,185,14.351851851851851,72,144,33.33333333333333
Racing,SNES,9,9,0,100.0,9,0,100.0,9,0,100.0
Racing,GBA,64,22,42,34.375,11,53,17.1875,39,25,60.9375
Racing,PS4,19,3,16,15.789473684210526,4,15,21.052631578947366,4,15,21.052631578947366
Racing,3DS,11,6,5,54.54545454545454,2,9,18.181818181818183,6,5,54.54545454545454
Racing,N64,57,57,0,100.0,57,0,100.0,57,0,100.0
Racing,PS,145,114,31,78.62068965517241,116,29,80.0,126,19,86.89655172413792
Racing,XB,123,15,108,12.195121951219512,12,111,9.75609756097561,46,77,37.39837398373984
Racing,PC,61,13,48,21.311475409836063,13,48,21.311475409836063,10,51,16.39344262295082
Racing,2600,6,6,0,100.0,6,0,100.0,6,0,100.0
Racing,PSP,63,15,48,23.809523809523807,7,56,11.11111111111111,23,40,36.507936507936506
Racing,XOne,20,5,15,25.0,4,16,20.0,4,16,20.0
Racing,WiiU,3,2,1,66.66666666666666,2,1,66.66666666666666,2,1,66.66666666666666
Racing,GC,63,14,49,22.22222222222222,12,51,19.047619047619047,29,34,46.03174603174603
Racing,GEN,1,1,0,100.0,1,0,100.0,1,0,100.0
Racing,DC,6,4,2,66.66666666666666,4,2,66.66666666666666,4,2,66.66666666666666
Racing,PSV,11,6,5,54.54545454545454,4,7,36.36363636363637,4,7,36.36363636363637
Racing,SAT,8,8,0,100.0,8,0,100.0,8,0,100.0
Racing,SCD,1,1,0,100.0,1,0,100.0,1,0,100.0
Role-Playing,Wii,35,9,26,25.71428571428571,9,26,25.71428571428571,8,27,22.857142857142858
Role-Playing,NES,11,11,0,100.0,11,0,100.0,11,0,100.0
Role-Playing,GB,21,21,0,100.0,21,0,100.0,21,0,100.0
Role-Playing,DS,200,103,97,51.5,97,103,48.5,111,89,55.50000000000001
Role-Playing,X360,75,17,58,22.666666666666664,11,64,14.666666666666666,16,59,21.333333333333336
Role-Playing,PS3,119,41,78,34.45378151260504,36,83,30.252100840336134,36,83,30.252100840336134
Role-Playing,PS2,187,65,122,34.75935828877005,60,127,32.0855614973262,65,122,34.75935828877005
Role-Playing,SNES,50,50,0,100.0,50,0,100.0,50,0,100.0
Role-Playing,GBA,73,37,36,50.68493150684932,36,37,49.31506849315068,41,32,56.16438356164384
Role-Playing,PS4,51,27,24,52.94117647058824,26,25,50.98039215686274,27,24,52.94117647058824
Role-Playing,3DS,88,62,26,70.45454545454545,61,27,69.31818181818183,62,26,70.45454545454545
Role-Playing,N64,8,8,0,100.0,8,0,100.0,8,0,100.0
Role-Playing,PS,97,69,28,71.1340206185567,69,28,71.1340206185567,69,28,71.1340206185567
Role-Playing,XB,23,6,17,26.08695652173913,6,17,26.08695652173913,6,17,26.08695652173913
Role-Playing,PC,104,20,84,19.230769230769234,14,90,13.461538461538462,14,90,13.461538461538462
Role-Playing,PSP,192,122,70,63.541666666666664,116,76,60.416666666666664,119,73,61.979166666666664
Role-Playing,XOne,14,5,9,35.714285714285715,6,8,42.857142857142854,5,9,35.714285714285715
Role-Playing,WiiU,7,5,2,71.42857142857143,5,2,71.42857142857143,5,2,71.42857142857143
Role-Playing,GC,27,3,24,11.11111111111111,3,24,11.11111111111111,4,23,14.814814814814813
Role-Playing,GEN,3,3,0,100.0,3,0,100.0,3,0,100.0
Role-Playing,DC,4,0,4,0.0,0,4,0.0,0,4,0.0
Role-Playing,PSV,86,54,32,62.7906976744186,50,36,58.139534883720934,51,35,59.30232558139535
Role-Playing,SAT,17,17,0,100.0,17,0,100.0,17,0,100.0
Role-Playing,SCD,1,1,0,100.0,1,0,100.0,1,0,100.0
Role-Playing,WS,4,4,0,100.0,4,0,100.0,4,0,100.0
Role-Playing,PCFX,1,1,0,100.0,1,0,100.0,1,0,100.0
Puzzle,Wii,55,33,22,60.0,11,44,20.0,40,15,72.72727272727273
Puzzle,NES,14,14,0,100.0,14,0,100.0,14,0,100.0
Puzzle,GB,15,15,0,100.0,15,0,100.0,15,0,100.0
Puzzle,DS,236,135,101,57.20338983050848,70,166,29.66101694915254,182,54,77.11864406779661
